State Name,Informasi Umum
Saint Lucia,"SAINT LUCIASaint Lucia is an Eastern Caribbean island nation with a pair of dramatically tapered mountains, the Pitons, on its west coast. Its coast is home to 
volcanic beaches, reef-diving sites, luxury resorts and fishing villages. Trails in the interior rainforest lead to waterfalls like the 15m-high Toraille, which 
pours over a cliff into a garden. The capital, Castries, is a popular cruise port.
Capital: Castries
Currency: East Caribbean dollar
Population: 182,273 (2013) World Bank
Prime minister: Allen Chastanet
Official language: English"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior cros sed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Rwanda,"RWANDARwanda is a landlocked East African country with a green, mountainous landscape. Its renowned Volcanoes National Park is home t o mountain gorillas 
and golden monkeys. The park encompasses 4,507m-tall Mt. Karisimbi and 4 other forested volcanoes. In the southwest is Nyungwe National Park, 
with ancient montane rainforest that's a habitat for chimpanzees and other primates.
Capital: Kigali
President: Paul Kagame
Currency: Rwandan franc
Population: 11.78 million (2013) World Bank
Official languages: Kinyarwanda, French, English
74SAINT KITTS AND 
NEVISSaint Kitts and Nevis is a dual-island nation situated between the Atlantic Ocean and Caribbean Sea. It's known for cloud-shrou ded mountains and 
beaches. Many of its former sugar plantations are now inns or atmospheric ruins. The larger of the 2 islands, Saint Kitts, is d ominated by the dormant 
Mount Liamuiga volcano, home to a crater lake, green vervet monkeys and rainforest crisscrossed with hiking trails.
Capital: Basseterre
Dialing code: +1
Currency: East Caribbean dollar
Population: 54,191 (2013) World Bank
Official language: English"
Saint Lucia,"SAINT LUCIASaint Lucia is an Eastern Caribbean island nation with a pair of dramatically tapered mountains, the Pitons, on its west coast.  Its coast is home to 
volcanic beaches, reef-diving sites, luxury resorts and fishing villages. Trails in the interior rainforest lead to waterfalls like the 15m-high Toraille, which 
pours over a cliff into a garden. The capital, Castries, is a popular cruise port.
Capital: Castries
Currency: East Caribbean dollar
Population: 182,273 (2013) World Bank
Prime minister: Allen Chastanet
Official language: English 
76SAINT VINCENT 
AND THE 
GRENADINESSt. Vincent and the Grenadines is a southern Caribbean nation comprising a main island, St. Vincent, and a chain of smaller isl ands. With yacht-filled 
harbors, chic private isles and volcanic landscapes, it’s known for its major sailing destinations such as reef-lined Bequia Is land off Admiralty Bay, 
bordered by white-sand beaches like Princess Margaret. The main island is home to the capital, Kingstown.
Capital: Kingstown
Population: 109,373 (2013) World Bank
Currency: East Caribbean dollar
Prime minister: Ralph Gonsalves
Official language: English
77SAO TOME AND 
PRINCIPESão Tomé and Príncipe, an African island nation close to the equator, is part of a volcano chain featuring striking rock and coral formations, rainforests 
and beaches. On the larger island, São Tomé, is the Lagoa Azul lagoon. Ôbo Natural Park, a biodiverse jungle preserve, covers m uch of São Tomé and is 
distinguished by Pico Cão Grande, a skyscraperlike volcanic rock.
Capital: São Tomé
Currency: São Tomé and Príncipe dobra
Population: 192,993 (2013) World Bank
President: Manuel Pinto da Costa
Continent: Africa
Official language: Portuguese"
S,"SwazilandSwaziland, a small, landlocked monarchy in southern Africa, is known for its wilderness reserves and festivals showcasing tradi tional Swazi culture. 
Marking its northeastern border with Mozambique and stretching down to South Africa, the Lebombo Mountains are a backdrop for M lawula Nature 
Reserve’s many hiking trails. Nearby Hlane Royal National Park is home to diverse wildlife including lions, hippos and elephant s.
Capitals: Lobamba, Mbabane
King: Mswati III
Population: 1.25 million (2013) World Bank
Currencies: Swazi lilangeni, South African rand
Official languages: English, Swati, South African English"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior cros sed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Rwanda,"RWANDARwanda is a landlocked East African country with a green, mountainous landscape. Its renowned Volcanoes National Park is home t o mountain gorillas 
and golden monkeys. The park encompasses 4,507m-tall Mt. Karisimbi and 4 other forested volcanoes. In the southwest is Nyungwe National Park, 
with ancient montane rainforest that's a habitat for chimpanzees and other primates.
Capital: Kigali
President: Paul Kagame
Currency: Rwandan franc
Population: 11.78 million (2013) World Bank
Official languages: Kinyarwanda, French, English
74SAINT KITTS AND 
NEVISSaint Kitts and Nevis is a dual-island nation situated between the Atlantic Ocean and Caribbean Sea. It's known for cloud-shrou ded mountains and 
beaches. Many of its former sugar plantations are now inns or atmospheric ruins. The larger of the 2 islands, Saint Kitts, is d ominated by the dormant 
Mount Liamuiga volcano, home to a crater lake, green vervet monkeys and rainforest crisscrossed with hiking trails.
Capital: Basseterre
Dialing code: +1
Currency: East Caribbean dollar
Population: 54,191 (2013) World Bank
Official language: English"
Saint Lucia,"SAINT LUCIASaint Lucia is an Eastern Caribbean island nation with a pair of dramatically tapered mountains, the Pitons, on its west coast.  Its coast is home to 
volcanic beaches, reef-diving sites, luxury resorts and fishing villages. Trails in the interior rainforest lead to waterfalls like the 15m-high Toraille, which 
pours over a cliff into a garden. The capital, Castries, is a popular cruise port.
Capital: Castries
Currency: East Caribbean dollar
Population: 182,273 (2013) World Bank
Prime minister: Allen Chastanet
Official language: English 
76SAINT VINCENT 
AND THE 
GRENADINESSt. Vincent and the Grenadines is a southern Caribbean nation comprising a main island, St. Vincent, and a chain of smaller isl ands. With yacht-filled 
harbors, chic private isles and volcanic landscapes, it’s known for its major sailing destinations such as reef-lined Bequia Is land off Admiralty Bay, 
bordered by white-sand beaches like Princess Margaret. The main island is home to the capital, Kingstown.
Capital: Kingstown
Population: 109,373 (2013) World Bank
Currency: East Caribbean dollar
Prime minister: Ralph Gonsalves
Official language: English
77SAO TOME AND 
PRINCIPESão Tomé and Príncipe, an African island nation close to the equator, is part of a volcano chain featuring striking rock and coral formations, rainforests 
and beaches. On the larger island, São Tomé, is the Lagoa Azul lagoon. Ôbo Natural Park, a biodiverse jungle preserve, covers m uch of São Tomé and is 
distinguished by Pico Cão Grande, a skyscraperlike volcanic rock.
Capital: São Tomé
Currency: São Tomé and Príncipe dobra
Population: 192,993 (2013) World Bank
President: Manuel Pinto da Costa
Continent: Africa
Official language: Portuguese"
S,"SwazilandSwaziland, a small, landlocked monarchy in southern Africa, is known for its wilderness reserves and festivals showcasing tradi tional Swazi culture. 
Marking its northeastern border with Mozambique and stretching down to South Africa, the Lebombo Mountains are a backdrop for M lawula Nature 
Reserve’s many hiking trails. Nearby Hlane Royal National Park is home to diverse wildlife including lions, hippos and elephant s.
Capitals: Lobamba, Mbabane
King: Mswati III
Population: 1.25 million (2013) World Bank
Currencies: Swazi lilangeni, South African rand
Official languages: English, Swati, South African English"
Sweden,"SwedenSweden is a Scandinavian nation with thousands of coastal islands and inland lakes, along with vast boreal forests and glaciate d mountains. Its 
principal cities, eastern capital Stockholm and southwestern Gothenburg and Malmö, are all coastal. Stockholm is built on 14 is lands. It has more than 
50 bridges, as well as the medieval old town, Gamla Stan, royal palaces and museums such as open-air Skansen.
Capital: Stockholm
Dialing code: +46
Currency: Swedish krona
Population: 9.593 million (2013) World Bank
Official language: Swedish"
Switzerland,"SwitzerlandSwitzerland is a mountainous Central European country, home to numerous lakes, villages and the high peaks of the Alps. Its cit ies contain medieval 
quarters, with landmarks like capital Bern’s Zytglogge clock tower and Lucerne’s wooden chapel bridge. The country is also know n for its ski resorts 
and hiking trails. Banking and finance are key industries, and Swiss watches and chocolate are world renowned.
Dialing code: +41
Currency: Swiss franc
Population: 8.081 million (2013) World Bank
Official languages: French, German, Italian, Romansh"
Afghanistan,"TajikistanTajikistan is a country in Central Asia surrounded by Afghanistan, China, Kyrgyzstan and Uzbekistan. It’s known for rugged moun tains, popular for 
hiking and climbing. The Fann Mountains, near the national capital Dushanbe, have snow-capped peaks that rise over 5,000 meters . The range 
encompasses the Iskanderkulsky Nature Refuge, a notable bird habi tat named for Iskanderkul, a turquoise lake formed by glaciers .
Capital: Dushanbe
President: Emomali Rahmon
Population: 8.208 million (2013) World Bank
Official languages: Tajiki, Persian, Russian
Government: Unitary state, Presidential system, Semi-presidential system"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Thailand,"ThailandThailand is a Southeast Asian country. It's known for tropical beaches, opulent royal palaces, ancient ruins and ornate temples  displaying figures of 
Buddha. In Bangkok, the capital, an ultramodern cityscape rises next to quiet canalside communities and the iconic temples of W at Arun, Wat Pho and 
the Emerald Buddha Temple (Wat Phra Kaew). Nearby beach resorts include bustling Pattaya and fashionable Hua Hin.
Capital: Bangkok
Dialing code: +66
King: Bhumibol Adulyadej
Currency: Thai baht
Population: 67.01 million (2013) World Bank"
Timor-Leste,"Timor-LesteEast Timor, or Timor-Leste, a Southeast Asian nation occupying half the island of Timor, is ringed by coral reefs teeming with marine life. Landmarks in 
the capital, Dili, speak to the country's struggles for indepe ndence from Portugal in  1975 and then Indonesia in 2002. The icon ic 27m-tall Cristo Rei de 
Dili statue sits on a hilltop high over the city, with sweeping views of the surro unding bay.
Capital: Dili
Currency: United States Dollar
President: Taur Matan Ruak
GDP per capita: 1,105.35 USD (2012) World Bank
Population: 1.178 million (2013) World Bank
Official languages: Portuguese, Tetun"
T,"TurkeyTurkey is a nation straddling eastern Europe and western Asia with cultural connections to ancient Greek, Persian, Roman, Byzan tine and Ottoman 
empires. Cosmopolitan Istanbul, on the Bosphorus Strait, is home to the iconic Hagia Sophia, with its soaring dome and Christia n mosaics, the massive 
17th-century Blue Mosque and the circa-1460 Topkapı Palace, former home of sultans. Ankara is Turkey’s modern capital.
Capital: Ankara
President: Recep Tayyip Erdoğan
Currency: Turkish lira
Prime minister: Binali Yıldırım
Population: 74.93 million (2013) World Bank"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Thailand,"ThailandThailand is a Southeast Asian country. It's known for tropical beaches, opulent royal palaces, ancient ruins and ornate temples  displaying figures of 
Buddha. In Bangkok, the capital, an ultramodern cityscape rises next to quiet canalside communities and the iconic temples of W at Arun, Wat Pho and 
the Emerald Buddha Temple (Wat Phra Kaew). Nearby beach resorts include bustling Pattaya and fashionable Hua Hin.
Capital: Bangkok
Dialing code: +66
King: Bhumibol Adulyadej
Currency: Thai baht
Population: 67.01 million (2013) World Bank"
Timor-Leste,"Timor-LesteEast Timor, or Timor-Leste, a Southeast Asian nation occupying half the island of Timor, is ringed by coral reefs teeming with marine life. Landmarks in 
the capital, Dili, speak to the country's struggles for indepe ndence from Portugal in  1975 and then Indonesia in 2002. The icon ic 27m-tall Cristo Rei de 
Dili statue sits on a hilltop high over the city, with sweeping views of the surro unding bay.
Capital: Dili
Currency: United States Dollar
President: Taur Matan Ruak
GDP per capita: 1,105.35 USD (2012) World Bank
Population: 1.178 million (2013) World Bank
Official languages: Portuguese, Tetun"
T,"TurkeyTurkey is a nation straddling eastern Europe and western Asia with cultural connections to ancient Greek, Persian, Roman, Byzan tine and Ottoman 
empires. Cosmopolitan Istanbul, on the Bosphorus Strait, is home to the iconic Hagia Sophia, with its soaring dome and Christia n mosaics, the massive 
17th-century Blue Mosque and the circa-1460 Topkapı Palace, former home of sultans. Ankara is Turkey’s modern capital.
Capital: Ankara
President: Recep Tayyip Erdoğan
Currency: Turkish lira
Prime minister: Binali Yıldırım
Population: 74.93 million (2013) World Bank"
Uganda,"UgandaUganda is a landlocked country in East Africa whose diverse landscape encompasses the snow-capped Rwenzori Mountains and immense Lake 
Victoria. Its abundant wildlife includes chimpanzees as well as rare birds. Remote Bwindi Impenetrable National Park is a renow ned mountain gorilla 
sanctuary. Murchison Falls National Park in the northwest is known for its 43m-tall waterfall and wildlife such as hippos.Capital: Kampala
Dialing code: +256
President: Yoweri Museveni
Currency: Ugandan shilling
Population: 37.58 million (2013) World Bank"
Ukraine,"UkraineUkraine is a large country in Eastern Europe known for its Orthodox churches, Black Sea coastline and forested mountains. Its capital, Kiev, features 
the gold-domed St. Sophia's Cathedral, with 11th-century mosaics and frescoes. Overlooking the Dnieper River is the Kiev Pechersk Lavra monastery 
complex, a Christian pilgrimage site housing Scythian tomb relics and catacombs containing mummified Orthodox monks.
Capital: Kiev
President: Petro Poroshenko
Currency: Ukrainian hryvnia
Prime minister: Volodymyr Groysman
Points of interest: Kiev Pechersk Lavra
87United Arab 
EmiratesThe United Arab Emirates is an Arabian Peninsula nation settled mainly along the Persian (Arabian) Gulf. The country is a feder ation of 7 emirates. Abu 
Dhabi, the island capital, is home to Sheikh Zayed Grand Mosque, with crystal chandeliers and room for 40,000 worshipers. Dubai  is the site of 
ultramodern Burj Khalifa tower, enormous shopping centers and extravagant entertainment attractions.
Capital: Abu Dhabi
Dialing code: +971
Currency: United Arab Emirates dirham
Population: 9.346 million (2013) World Bank
President: Khalifa bin Zayed Al Nahyan"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Uganda,"UgandaUganda is a landlocked country in East Africa whose diverse landscape encompasses the snow-capped Rwenzori Mountains and immense Lake 
Victoria. Its abundant wildlife includes chimpanzees as well as rare birds. Remote Bwindi Impenetrable National Park is a renow ned mountain gorilla 
sanctuary. Murchison Falls National Park in the northwest is known for its 43m-tall waterfall and wildlife such as hippos.Capital: Kampala
Dialing code: +256
President: Yoweri Museveni
Currency: Ugandan shilling
Population: 37.58 million (2013) World Bank"
Ukraine,"UkraineUkraine is a large country in Eastern Europe known for its Orthodox churches, Black Sea coastline and forested mountains. Its capital, Kiev, features 
the gold-domed St. Sophia's Cathedral, with 11th-century mosaics and frescoes. Overlooking the Dnieper River is the Kiev Pechersk Lavra monastery 
complex, a Christian pilgrimage site housing Scythian tomb relics and catacombs containing mummified Orthodox monks.
Capital: Kiev
President: Petro Poroshenko
Currency: Ukrainian hryvnia
Prime minister: Volodymyr Groysman
Points of interest: Kiev Pechersk Lavra
87United Arab 
EmiratesThe United Arab Emirates is an Arabian Peninsula nation settled mainly along the Persian (Arabian) Gulf. The country is a feder ation of 7 emirates. Abu 
Dhabi, the island capital, is home to Sheikh Zayed Grand Mosque, with crystal chandeliers and room for 40,000 worshipers. Dubai  is the site of 
ultramodern Burj Khalifa tower, enormous shopping centers and extravagant entertainment attractions.
Capital: Abu Dhabi
Dialing code: +971
Currency: United Arab Emirates dirham
Population: 9.346 million (2013) World Bank
President: Khalifa bin Zayed Al Nahyan"
Cuba,"CUBACuba is a Caribbean island nation under communist rule. It has sugar-white beaches and is dotted with tobacco fields, which pla y a part in the 
production of the country's legendary cigars. The capital, Havana, is lined with pastel houses, 1950s-era cars and Spanish-colo nial architecture in the 
16th-century core, Old Havana. Salsa music plays in the dance clubs and cabaret shows are performed at the famed Tropicana.
Capital: Havana
President: Raúl Castro
Population: 11.27 million (2013) World Bank
Currencies: Cuban peso, Cuban convertible peso
Official language: Spanish"
Republic of Korea,"CZECH REPUBLICThe Czech Republic, in Central Europe, is a country that's known for its ornate castles, native beers and long history. Prague,  the capital, is home to 
grand 9th-century Prague Castle, a preserved medieval old town and statue-lined Charles Bridge. Český Krumlov, a small town in the South Bohemia 
region, is notable for its wealth of Gothic, Renaissance and Baroque buildings, many of which house restaurants and shops.
Capital: Prague
Dialing code: +420
Currency: Czech koruna
President: Miloš Zeman
Official language: Czech
90DEMOCRATIC 
PEOPLE'S 
REPUBLIC OF 
KOREANorth Korea, officially the Democratic People's Republic of Korea, is a country in East Asia, in the northern part of the Korea n Peninsula. Pyongyang is 
both the nation's capital as well as its largest city, with a population just over 2.5 million. 
Capital: Pyongyang
Supreme leader: Kim Jong-un
Premier: Pak Pong-ju
Population: 24.9 million (2013) World Bank
Currency: North Korean won
91DEMOCRATIC 
PEOPLE'S 
REPUBLIC OF 
CONGOThe Democratic Republic of the Congo (/ˈkɒŋɡoʊ/; French pro nunciation: ​[kɔ̃ɡo]; French: République démocratique du Congo), also known as DR 
Congo, DRC, DROC, Congo-Kinshasa, or simply the Congo[6][7] is a country located in Centra l Africa. From 1971 to 1997 it was na med Zaire, and from 
1908 to 1960 it was called the Belgian Congo. The DRC borders the Republic of the Congo, the Central African Republic, and Sout h Sudan to the north; 
Uganda, Rwanda, Burundi and Tanzania to the east; Zambia and Angola to the south; and the Atlantic Ocean to the west and southw est. It is the 
second largest country in Africa by area, the largest in Subsaharan Africa, and the eleventh largest in the world. With a population of over 80 million,[1] 
the Democratic Republic of the Congo is the most populated officially Francophone country, the fourth most populated nation in Africa and the 
eighteenth most populated country in the world."
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Cuba,"CUBACuba is a Caribbean island nation under communist rule. It has sugar-white beaches and is dotted with tobacco fields, which pla y a part in the 
production of the country's legendary cigars. The capital, Havana, is lined with pastel houses, 1950s-era cars and Spanish-colo nial architecture in the 
16th-century core, Old Havana. Salsa music plays in the dance clubs and cabaret shows are performed at the famed Tropicana.
Capital: Havana
President: Raúl Castro
Population: 11.27 million (2013) World Bank
Currencies: Cuban peso, Cuban convertible peso
Official language: Spanish"
Republic of Korea,"CZECH REPUBLICThe Czech Republic, in Central Europe, is a country that's known for its ornate castles, native beers and long history. Prague,  the capital, is home to 
grand 9th-century Prague Castle, a preserved medieval old town and statue-lined Charles Bridge. Český Krumlov, a small town in the South Bohemia 
region, is notable for its wealth of Gothic, Renaissance and Baroque buildings, many of which house restaurants and shops.
Capital: Prague
Dialing code: +420
Currency: Czech koruna
President: Miloš Zeman
Official language: Czech
90DEMOCRATIC 
PEOPLE'S 
REPUBLIC OF 
KOREANorth Korea, officially the Democratic People's Republic of Korea, is a country in East Asia, in the northern part of the Korea n Peninsula. Pyongyang is 
both the nation's capital as well as its largest city, with a population just over 2.5 million. 
Capital: Pyongyang
Supreme leader: Kim Jong-un
Premier: Pak Pong-ju
Population: 24.9 million (2013) World Bank
Currency: North Korean won
91DEMOCRATIC 
PEOPLE'S 
REPUBLIC OF 
CONGOThe Democratic Republic of the Congo (/ˈkɒŋɡoʊ/; French pro nunciation: ​[kɔ̃ɡo]; French: République démocratique du Congo), also known as DR 
Congo, DRC, DROC, Congo-Kinshasa, or simply the Congo[6][7] is a country located in Centra l Africa. From 1971 to 1997 it was na med Zaire, and from 
1908 to 1960 it was called the Belgian Congo. The DRC borders the Republic of the Congo, the Central African Republic, and Sout h Sudan to the north; 
Uganda, Rwanda, Burundi and Tanzania to the east; Zambia and Angola to the south; and the Atlantic Ocean to the west and southw est. It is the 
second largest country in Africa by area, the largest in Subsaharan Africa, and the eleventh largest in the world. With a population of over 80 million,[1] 
the Democratic Republic of the Congo is the most populated officially Francophone country, the fourth most populated nation in Africa and the 
eighteenth most populated country in the world."
Denmark,"DENMARKDenmark is a Scandinavian country comprising the Jutland Peninsula and numerous islands. It's linked to nearby Sweden via the Ö resund bridge. 
Copenhagen, its capital, is home to royal palaces and colorful Nyhavn harbor, plus the Tivoli amusement park and the iconic “Li ttle Mermaid” statue. 
Odense is writer Hans Christian Andersen’s hometown, with a medieval core of cobbled streets and half-timbered houses.
Capital: Copenhagen
Dialing code: +45
Currency: Danish krone
Population: 5.614 million (2013) World Bank
Queen: Margrethe II of Denmark
Official language: Danish
Destinations"
Djibouti,"DJIBOUTIDjibouti, on the Horn of Africa, is a mostly French- and Arabic-speaking country of dry shrublands, volcanic formations and Gul f of Aden beaches. It's 
home to one of the saltiest bodies of water in the world, the low-lying Lake Assal, in the Danakil Desert. The nomadic Afar peo ple have settlements 
along Lake Abbe, a body of saltwater featuring chimneylike mineral formations.
Capital: Djibouti
Founded: June 27, 1977
Dialing code: +253Population: 872,932 (2013) World Bank
Currency: Djiboutian franc
Official languages: French, Arabic
94DOMINICAN 
REPUBLICThe Dominican Republic is a Caribbean nation that shares the island of Hispaniola with Haiti to the west. It's known for its beaches, resorts and golfing. 
Its terrain comprises rainforest, savannah and highlands, including Pico Duarte, the Caribbean’s tallest mountain. Capital city  Santo Domingo has 
Spanish landmarks like the Gothic Catedral Primada de America dating back 5 centuries in its Zona Colonial district.Capital: Santo Domingo
Dialing code: +1
Currency: Dominican peso
Population: 10.4 million (2013) World Bank
Official language: Spanish"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
